,AREA,INT_SQFT,DATE_SALE,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,DATE_BUILD,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,REG_FEE,COMMIS,SALES_PRICE,Year Sale,Year Build,SALES_PRICE_LAKHS
1756,Chrompet,1191,2011-02-09,189,1,1,3,partial,Yes,1988-07-09,House,ELO,Gravel,RL,257245,69258,9894050,2011,1988,9.89
1757,Adyar,1025,2007-12-25,170,1,1,3,Adj Land,No,1974-02-01,Others,All Pub,Gravel,RM,325308,32531,10843610,2007,1974,10.84
1758,KK Nagar,1392,2011-04-22,74,2,1,4,Family,No,2003-04-24,Commercial,No Sewage,Paved,RL,454595,196582,12286360,2011,2003,12.29
1759,KK Nagar,2499,2010-01-27,200,4,2,6,Normal Sale,Yes,2003-01-29,Others,No Sewage,Paved,RH,535917,334948,13397920,2010,2003,13.4
1760,Karapakkam,1290,2010-10-17,100,1,1,3,Abnormal,Yes,1984-10-23,House,ELO,Gravel,RL,287117,165310,8700500,2010,1984,8.7
1761,Anna Nagar,1760,2015-01-27,34,1,1,4,Family,Yes,1995-01-02,Commercial,All Pub,Paved,RL,752815,345888,20346350,2015,1995,20.35
1762,Chrompet,1279,2012-04-09,126,2,1,4,Normal Sale,No,1990-10-09,Others,ELO,Paved,RL,323259,127344,9795730,2012,1990,9.8
1763,Chrompet,816,2011-08-16,183,1,1,3,partial,No,1981-08-23,Commercial,No Sewage,Gravel,RH,320259,150122,10008100,2011,1981,10.01
1764,T Nagar,1904,2009-07-19,141,2,1,5,Adj Land,No,1983-07-26,Commercial,ELO,Gravel,RH,604317,395932,20838520,2009,1983,20.84
1765,KK Nagar,1502,2009-11-30,193,2,1,4,Normal Sale,No,1996-03-12,Commercial,No Sewage,Paved,RH,466735,126145,12614460,2009,1996,12.61
1766,Chrompet,922,2010-03-13,163,1,1,3,partial,Yes,1996-03-16,Others,No Sewage,Paved,RH,215866,103616,8634640,2010,1996,8.63
1767,T Nagar,1781,2009-06-28,142,1,1,4,Adj Land,No,1999-01-07,Commercial,No Sewage,Paved,RL,800231,328300,20518750,2009,1999,20.52
1768,Adyar,645,2010-06-02,19,1,1,2,Normal Sale,Yes,1998-09-02,Commercial,No Sewage,Paved,C,307772,61554,8793480,2010,1998,8.79
1769,Chrompet,1142,2013-11-20,124,1,1,3,Family,No,1991-11-26,Commercial,No Sewage,No Access,RM,409834,102458,12807300,2013,1991,12.81
1770,T Nagar,1674,2013-09-08,15,1,1,4,Abnormal,No,1969-08-20,House,All Pub,No Access,RH,301894,166562,10410130,2013,1969,10.41
1771,Adyar,781,2010-10-11,164,1,1,2,Adj Land,No,1998-11-13,Commercial,No Sewage,Gravel,RH,435153,156209,11157780,2010,1998,11.16
1772,Adyar,1274,2007-08-29,166,2,2,4,partial,No,1997-08-31,Others,All Pub,No Access,RH,298722,130691,9335050,2007,1997,9.34
1773,Karapakkam,687,2010-08-23,2,1,1,2,Adj Land,No,1992-08-27,Others,All Pub,No Access,RL,212891,100532,5913625,2010,1992,5.91
1774,T Nagar,1886,2009-09-17,155,2,1,5,Normal Sale,No,1987-09-23,Others,All Pub,Gravel,RL,469477,249410,14671170,2009,1987,14.67
1775,T Nagar,1598,2007-04-27,14,1,1,4,Normal Sale,Yes,1974-05-05,Commercial,No Sewage,Gravel,RM,500603,140169,20024110,2007,1974,20.02
1776,Karapakkam,593,2012-03-23,113,1,1,2,Family,Yes,1999-03-27,House,No Sewage,No Access,RM,213650,51794,6474250,2012,1999,6.47
1777,Anna Nagar,1815,2013-01-16,48,2,1,5,partial,No,1999-01-20,Commercial,No Sewage,No Access,RM,534986,178329,19814280,2013,1999,19.81
1778,Karapakkam,1121,2009-12-29,196,1,1,3,Family,No,1979-06-01,Others,No Sewage,Paved,I,216418,64340,5849125,2009,1979,5.85
1779,Chrompet,1182,2009-09-08,4,1,1,3,Family,No,2001-11-08,Others,No Sewage,Paved,RM,272644,141371,10097940,2009,2001,10.1
1780,Anna Nagar,1864,2010-01-02,198,2,1,5,partial,No,1969-11-02,Others,ELO,No Access,RM,514704,141543,12867590,2010,1969,12.87
1781,KK Nagar,2125,2011-12-04,198,3,2,5,Abnormal,No,1983-04-19,Commercial,No Sewage,Gravel,RL,582980,416414,16656560,2011,1983,16.66
1782,Chrompet,955,2012-02-24,175,1,1,3,Adj Land,No,2006-02-25,House,No Sewage,Gravel,RM,263080,29231,9743700,2012,2006,9.74
1783,Velachery,1625,2008-02-10,2,2,1,4,Normal Sale,No,1991-07-10,Commercial,No Sewage,Paved,RH,466444,274379,13718940,2008,1991,13.72
1784,Chrompet,864,2012-03-17,124,1,1,3,Normal Sale,Yes,2005-03-19,Commercial,ELO,Paved,RM,313916,175793,12556650,2012,2005,12.56
1785,Chrompet,1183,2014-09-12,143,1,1,3,Normal Sale,Yes,1999-12-13,Others,No Sewage,Gravel,RH,334527,104540,10453960,2014,1999,10.45
1786,Karapakkam,938,2011-11-13,70,1,1,3,Normal Sale,No,1965-11-24,House,All Pub,Gravel,C,181985,113126,4918500,2011,1965,4.92
1787,Karapakkam,1040,2009-05-11,25,1,1,3,Adj Land,Yes,1971-11-15,House,ELO,Paved,RL,372425,114008,7600500,2009,1971,7.6
1788,Chrompet,849,2010-10-21,21,1,1,3,Adj Land,Yes,1974-10-30,Commercial,No Sewage,Paved,RL,314566,58253,11650600,2010,1974,11.65
1789,Karapakkam,914,2011-05-20,132,1,1,3,Family,Yes,1988-05-25,Others,All Pub,No Access,RH,247456,113696,6688000,2011,1988,6.69
1790,Karapakkam,1156,2011-05-26,122,1,1,3,Adj Land,Yes,2002-05-28,House,ELO,Gravel,RL,447388,125269,8947750,2011,2002,8.95
1791,Chrompet,830,2014-03-13,191,1,1,3,Family,Yes,1991-03-19,Commercial,No Sewage,No Access,RL,358342,162883,10858850,2014,1991,10.86
1792,KK Nagar,1655,2010-07-05,146,2,1,4,partial,No,1981-05-14,House,No Sewage,Gravel,RM,314995,127967,9843580,2010,1981,9.84
1793,KK Nagar,1693,2009-01-24,99,2,1,4,Family,Yes,1989-01-29,House,No Sewage,Paved,RL,481046,180392,10021800,2009,1989,10.02
1794,Chrompet,1014,2007-04-12,17,1,1,3,partial,Yes,1984-09-12,Commercial,ELO,Gravel,RL,418933,117825,13091650,2007,1984,13.09
1795,Chrompet,1148,2013-03-10,152,1,1,3,Normal Sale,No,1980-11-10,House,ELO,Gravel,RH,237195,32717,8179150,2013,1980,8.18
1796,KK Nagar,2453,2011-10-29,53,4,2,6,Family,No,1992-02-11,Others,All Pub,Gravel,RM,645265,164748,13729040,2011,1992,13.73
1797,KK Nagar,2167,2011-04-30,194,3,2,5,Adj Land,No,1986-06-05,Others,No Sewage,Paved,RM,486612,124772,12477240,2011,1986,12.48
1798,Karapakkam,1404,2011-09-12,43,2,2,4,Family,Yes,1991-12-14,Others,No Sewage,Gravel,RH,384153,82319,9146500,2011,1991,9.15
1799,T Nagar,1545,2007-09-10,17,1,1,4,Adj Land,No,2001-10-10,Others,ELO,Gravel,RM,559477,139869,13986920,2007,2001,13.99
1800,Velachery,1634,2006-04-23,93,2,1,4,Abnormal,Yes,1951-07-05,House,No Sewage,No Access,RH,294404,155380,8177900,2006,1951,8.18
1801,Chrompet,1268,2007-06-03,40,2,1,4,partial,Yes,1988-10-03,House,No Sewage,Gravel,RM,362427,153757,10982650,2007,1988,10.98
1802,KK Nagar,1682,2011-09-05,38,2,1,4,Normal Sale,Yes,2005-10-05,Others,No Sewage,Gravel,RM,367175,208066,12239160,2011,2005,12.24
1803,Velachery,1787,2010-08-10,116,2,1,4,Adj Land,No,1961-10-20,Others,No Sewage,Paved,RH,347046,106042,9640180,2010,1961,9.64
1804,Karapakkam,1337,2010-11-24,34,2,2,4,Family,Yes,1975-03-12,Others,ELO,Gravel,I,397656,182922,7953125,2010,1975,7.95
1805,Adyar,695,2012-07-04,165,1,1,2,Family,Yes,1998-11-04,Others,No Sewage,Paved,A,215229,6149,6149410,2012,1998,6.15
1806,Anna Nagar,1930,2010-02-16,163,2,1,5,partial,No,1966-02-27,House,No Sewage,Gravel,RM,457127,143669,13060780,2010,1966,13.06
1807,Chrompet,1042,2012-06-13,178,1,1,3,Abnormal,Yes,1994-06-18,Others,All Pub,Gravel,RL,296269,158716,10581040,2012,1994,10.58
1808,T Nagar,1613,2012-04-13,178,1,1,4,partial,No,2006-04-15,Commercial,No Sewage,Paved,RH,438461,315692,17538420,2012,2006,17.54
1809,Karapakkam,1270,2012-12-02,39,1,1,3,Adj Land,Yes,1990-02-17,House,ELO,Gravel,RL,393954,196977,8953500,2012,1990,8.95
1810,Chrompet,997,2010-03-09,114,1,1,3,partial,Yes,1970-09-13,Commercial,ELO,Gravel,RH,385798,144674,12056200,2010,1970,12.06
1811,Chrompet,726,2014-05-31,74,1,1,2,Family,No,2003-03-06,House,ELO,No Access,RL,163297,37684,6280650,2014,2003,6.28
1812,Velachery,1853,2009-03-15,73,3,2,5,Adj Land,No,2000-03-17,Others,No Sewage,No Access,RH,340605,140249,10017780,2009,2000,10.02
1813,Velachery,1591,2006-01-18,27,2,1,4,Adj Land,No,1987-01-23,House,No Sewage,Paved,I,309092,158723,8353830,2006,1987,8.35
1814,Anna Nagar,1980,2007-01-19,48,2,1,5,Family,No,1975-01-27,Others,ELO,Gravel,RL,515980,200659,14332790,2007,1975,14.33
1815,KK Nagar,2226,2011-12-14,138,4,2,6,Family,Yes,1981-12-21,House,No Sewage,Paved,RL,571850,116704,11670400,2011,1981,11.67
1816,Adyar,808,2011-09-27,88,1,1,3,Adj Land,No,1992-01-10,Commercial,ELO,Paved,RM,430167,143389,11949085,2011,1992,11.95
1817,Karapakkam,1376,2012-07-03,181,2,2,4,Adj Land,No,1993-12-03,House,No Sewage,No Access,RM,356631,129684,8105250,2012,1993,8.11
1818,T Nagar,1868,2007-05-22,197,2,1,5,Normal Sale,No,1967-01-06,Commercial,No Sewage,Gravel,RH,781305,340569,20033450,2007,1967,20.03
1819,Karapakkam,1311,2010-02-06,48,1,1,3,Family,No,1981-09-06,House,No Sewage,Paved,RH,261290,84919,6532250,2010,1981,6.53
1820,Adyar,805,2009-01-27,63,1,1,3,Adj Land,Yes,1982-03-02,Others,All Pub,Gravel,I,321639,35738,8934405,2009,1982,8.93
1821,Chrompet,706,2013-09-18,100,1,1,2,Normal Sale,No,1980-09-26,Others,All Pub,Paved,RM,195474,93828,7818970,2013,1980,7.82
1822,Karapakkam,1464,2010-07-13,184,2,2,4,Normal Sale,No,2005-07-14,Others,ELO,Paved,A,219546,87819,6272750,2010,2005,6.27
1823,Adyar,648,2012-03-15,143,1,1,2,Family,No,1978-03-24,Commercial,No Sewage,Gravel,RM,383846,82994,10374210,2012,1978,10.37
1824,Velachery,1917,2008-08-05,182,3,2,5,partial,Yes,2002-10-05,House,ELO,No Access,RM,354609,144060,11081520,2008,2002,11.08
1825,Adyar,1018,2009-05-10,66,1,1,3,Family,Yes,2001-07-10,Others,All Pub,No Access,RH,350106,128986,9213320,2009,2001,9.21
1826,Anna Nagar,1694,2011-05-15,167,1,1,4,partial,Yes,1976-05-23,Commercial,All Pub,Paved,RH,659934,94276,18855250,2011,1976,18.86
1827,Chrompet,1112,2008-03-18,86,1,1,3,Adj Land,Yes,1973-03-27,Commercial,All Pub,No Access,RL,360819,200455,13363650,2008,1973,13.36
1828,Karapakkam,950,2010-10-27,116,1,1,3,partial,Yes,1993-10-31,House,All Pub,No Access,RH,249941,153810,6408750,2010,1993,6.41
1829,Adyar,1282,2007-05-25,149,2,2,4,Normal Sale,Yes,1989-05-29,House,No Sewage,No Access,RM,393630,43737,10934170,2007,1989,10.93
1830,Velachery,1639,2010-07-19,73,2,1,4,partial,No,1973-07-28,House,All Pub,Gravel,A,259623,119286,7016840,2010,1973,7.02
1831,KK Nagar,1501,2008-09-26,16,2,1,4,Family,Yes,1985-02-10,Others,No Sewage,Paved,RM,491357,85453,10681680,2008,1985,10.68
1832,Chrompet,765,2010-08-09,22,1,1,2,partial,No,1990-09-13,House,No Sewage,No Access,RH,166373,74581,5737000,2010,1990,5.74
1833,Anna Nagar,1765,2011-02-18,117,1,1,4,Adj Land,No,1991-02-23,House,No Sewage,Gravel,RM,533085,232370,13668850,2011,1991,13.67
1834,Karapakkam,1518,2011-04-20,104,2,2,4,Adj Land,Yes,1982-04-27,Others,ELO,No Access,A,296865,138537,6597000,2011,1982,6.6
1835,KK Nagar,2417,2009-09-05,196,4,2,6,partial,No,1983-05-16,House,No Sewage,Gravel,RL,343084,217286,11436120,2009,1983,11.44
1836,Karapakkam,1070,2011-03-26,109,1,1,3,Abnormal,Yes,1962-07-04,House,All Pub,Paved,A,242244,100935,5046750,2011,1962,5.05
1837,T Nagar,1784,2014-02-18,71,1,1,4,Adj Land,Yes,1997-02-22,Others,No Sewage,Paved,RL,459406,207474,14819560,2014,1997,14.82
1838,Chrompet,1188,2008-10-26,9,1,1,3,Adj Land,No,2003-10-28,Others,ELO,Gravel,RH,274330,88178,9797510,2008,2003,9.8
1839,Karapakkam,1494,2012-03-22,171,2,2,4,Normal Sale,Yes,1980-03-30,House,No Sewage,No Access,RL,376648,131008,8188000,2012,1980,8.19
1840,T Nagar,1810,2009-02-13,128,2,1,5,Normal Sale,No,2002-02-15,Commercial,No Sewage,No Access,RM,715452,347505,20441490,2009,2002,20.44
1841,Karapakkam,738,2010-03-31,166,1,1,2,Adj Land,Yes,1994-04-04,House,All Pub,Gravel,I,305955,54392,6799000,2010,1994,6.8
1842,KK Nagar,1564,2012-02-17,6,2,1,4,partial,No,2004-02-19,House,All Pub,Gravel,RM,500968,100194,10019360,2012,2004,10.02
1843,Karapakkam,1211,2012-02-03,88,1,1,3,Adj Land,No,1984-09-03,Commercial,No Sewage,Gravel,A,348705,153090,8505000,2012,1984,8.51
1844,Velachery,1662,2004-04-08,135,2,1,4,Abnormal,Yes,1957-08-16,Commercial,No Sewage,Gravel,C,481836,147228,13384340,2004,1957,13.38
1845,Velachery,1530,2006-12-20,174,2,1,4,partial,No,1967-12-30,Commercial,ELO,No Access,I,401494,184470,10851180,2006,1967,10.85
1846,Adyar,909,2009-07-19,62,1,1,3,Abnormal,Yes,1983-07-26,House,ELO,Paved,RH,274249,41553,8310590,2009,1983,8.31
1847,Adyar,690,2009-12-01,115,1,1,2,Adj Land,Yes,2000-01-15,Others,All Pub,Paved,C,232073,22459,7486235,2009,2000,7.49
1848,Chrompet,780,2011-05-18,94,1,1,2,Normal Sale,No,1987-05-24,House,ELO,No Access,RM,232980,42360,7060000,2011,1987,7.06
1849,Chrompet,1195,2010-05-25,43,1,1,3,Abnormal,No,2004-05-26,House,No Sewage,Gravel,RM,285894,81684,10210500,2010,2004,10.21
1850,Karapakkam,1428,2010-05-12,37,2,2,4,Family,Yes,2000-07-12,Commercial,No Sewage,Paved,RM,448137,237249,13180500,2010,2000,13.18
1851,Adyar,746,2011-04-27,53,1,1,2,Family,Yes,2005-04-28,Others,ELO,No Access,C,249237,25563,6390690,2011,2005,6.39
1852,Adyar,921,2008-07-23,163,1,1,3,Normal Sale,No,1998-07-26,Others,All Pub,No Access,I,222526,64604,7178250,2008,1998,7.18
1853,Adyar,607,2008-11-04,124,1,1,2,partial,No,2001-04-13,House,ELO,Gravel,C,204558,53831,5383105,2008,2001,5.38
1854,Adyar,712,2011-08-25,37,1,1,2,Abnormal,No,1996-08-28,House,All Pub,No Access,RL,237253,13956,6978025,2011,1996,6.98
1855,KK Nagar,2312,2009-01-27,88,4,2,6,Normal Sale,No,1999-01-30,House,No Sewage,Gravel,RM,565641,100558,12569800,2009,1999,12.57
1856,Velachery,1809,2008-03-30,174,3,2,5,Normal Sale,No,1987-05-04,Others,No Sewage,Paved,RM,439509,202850,11269470,2008,1987,11.27
1857,T Nagar,1872,2009-04-30,16,2,1,5,Family,No,1991-05-05,Others,ELO,Gravel,RM,385396,88938,14822920,2009,1991,14.82
1858,KK Nagar,2286,2012-01-23,46,4,2,6,Adj Land,No,2002-01-25,Others,All Pub,Paved,RM,616544,281466,13403120,2012,2002,13.4
1859,Karapakkam,1648,2010-09-07,26,2,2,4,Normal Sale,No,1982-07-16,House,No Sewage,No Access,A,223188,95652,5314000,2010,1982,5.31
1860,Anna Nagar,1522,2009-10-27,15,1,1,4,Family,No,1992-10-31,Others,All Pub,No Access,RL,451796,220106,11584500,2009,1992,11.58
1861,Chrompet,919,2007-02-14,70,1,1,3,Abnormal,No,2000-02-16,Commercial,All Pub,Gravel,RL,352572,60788,12157650,2007,2000,12.16
1862,T Nagar,1858,2012-09-16,156,2,1,5,Abnormal,Yes,1988-09-22,House,All Pub,No Access,RH,330086,228521,12695630,2012,1988,12.7
1863,Chrompet,1082,2012-10-26,194,1,1,3,Family,Yes,1994-10-31,Commercial,No Sewage,No Access,RL,336552,155332,12944300,2012,1994,12.94
1864,Karapakkam,1338,2011-05-10,165,2,2,4,Family,Yes,2003-07-10,Others,No Sewage,Paved,C,280621,96002,7384750,2011,2003,7.38
1865,Karapakkam,1559,2010-01-13,59,2,2,4,Normal Sale,No,1996-01-17,House,ELO,No Access,C,183968,74737,5749000,2010,1996,5.75
1866,Karapakkam,860,2009-09-10,165,1,1,2,Family,No,1972-10-18,Others,ELO,Paved,RL,248593,90949,6063250,2009,1972,6.06
1867,Velachery,1769,2009-04-27,137,2,1,4,Abnormal,Yes,1985-03-05,Others,All Pub,Gravel,A,385067,192534,9626680,2009,1985,9.63
1868,Chrompet,1197,2011-03-17,5,1,1,3,partial,No,1997-03-20,House,No Sewage,Gravel,RL,231828,37092,9273100,2011,1997,9.27
1869,Velachery,1971,2004-04-07,5,3,2,5,partial,Yes,1976-11-07,Commercial,No Sewage,No Access,RH,591269,186717,15559710,2004,1976,15.56
1870,Velachery,1966,2007-02-24,35,3,2,5,Abnormal,Yes,2000-02-26,House,No Sewage,No Access,I,386602,115980,9665040,2007,2000,9.67
1871,KK Nagar,2176,2008-09-22,28,3,2,5,Abnormal,No,1997-09-25,Others,No Sewage,Paved,RL,423070,235039,11751940,2008,1997,11.75
1872,Karapakkam,1519,2012-06-01,164,2,2,4,Normal Sale,No,2004-08-01,Others,ELO,No Access,A,244503,130781,5686125,2012,2004,5.69
1873,KK Nagar,1892,2009-03-09,16,3,2,5,partial,Yes,1986-09-09,Others,All Pub,Paved,RL,357328,172901,11526700,2009,1986,11.53
1874,Chrompet,786,2009-09-10,75,1,1,2,Normal Sale,No,2001-11-10,House,All Pub,No Access,RL,227726,96611,6900800,2009,2001,6.9
1875,Chrompet,942,2013-09-01,18,1,1,3,Abnormal,Yes,1975-01-19,Others,All Pub,Gravel,RL,324193,167009,9824040,2013,1975,9.82
1876,Karapakkam,1344,2011-05-09,151,2,2,4,Abnormal,Yes,1970-09-15,House,No Sewage,Gravel,I,376238,173069,7524750,2011,1970,7.52
1877,Karapakkam,943,2011-03-16,198,1,1,3,Normal Sale,Yes,1979-03-24,Others,No Sewage,Gravel,I,220166,127838,7102125,2011,1979,7.1
1878,Chrompet,1098,2010-06-05,62,1,1,3,Normal Sale,No,1979-05-14,House,No Sewage,Gravel,RL,240345,62312,8901650,2010,1979,8.9
1879,Karapakkam,1190,2010-08-09,77,1,1,3,Family,No,2001-10-09,House,ELO,Gravel,I,253490,90997,6499750,2010,2001,6.5
1880,Velachery,1590,2008-10-28,106,2,1,4,partial,Yes,1982-04-11,House,No Sewage,Gravel,RH,385489,115647,9637220,2008,1982,9.64
1881,Karapakkam,1040,2011-03-13,142,1,1,3,Normal Sale,Yes,1991-03-18,Commercial,ELO,Gravel,I,296577,200907,9567000,2011,1991,9.57
1882,KK Nagar,1524,2008-09-12,61,2,1,4,Adj Land,No,1991-12-14,Others,All Pub,Gravel,RH,454969,197812,9890620,2008,1991,9.89
1883,Chrompet,1132,2008-06-25,106,1,1,3,Abnormal,Yes,1985-01-07,House,No Sewage,No Access,RH,217278,83569,8356850,2008,1985,8.36
1884,Anna Nagar,1699,2012-04-10,185,1,1,4,Abnormal,Yes,1969-10-15,Commercial,ELO,Gravel,RH,752593,366648,19297260,2012,1969,19.3
1885,Chrompet,1204,2006-12-20,47,2,1,4,Normal Sale,Yes,1986-12-25,Others,No Sewage,Paved,RH,333184,171640,10096480,2006,1986,10.1
1886,Adyar,1003,2012-10-01,147,1,1,3,Adj Land,No,1999-01-13,Commercial,All Pub,Gravel,RL,479836,27419,13709595,2012,1999,13.71
1887,Anna Nagar,1610,2008-06-02,182,1,1,4,Abnormal,Yes,1963-02-17,House,ELO,Gravel,RL,445133,197837,12364800,2008,1963,12.36
1888,Velachery,1869,2004-04-18,36,3,2,5,Adj Land,No,1960-04-29,House,ELO,Paved,C,250314,145343,8074630,2004,1960,8.07
1889,Anna Nagar,1676,2009-06-10,103,1,1,4,partial,Yes,1995-10-10,Commercial,No Sewage,Paved,RM,669970,223323,20302130,2009,1995,20.3
1890,Adyar,929,2009-03-07,91,1,1,3,Adj Land,Yes,1980-10-07,House,No Sewage,No Access,RM,313330,56969,9494835,2009,1980,9.49
1891,Karapakkam,1265,2010-08-01,108,1,1,3,Normal Sale,No,1997-11-01,Others,No Sewage,Gravel,RM,448531,206324,8970625,2010,1997,8.97
1892,T Nagar,1585,2008-12-21,199,1,1,4,Abnormal,No,1972-12-30,Commercial,ELO,Paved,RL,684691,210674,17556170,2008,1972,17.56
1893,Chrompet,729,2013-05-04,142,1,1,2,Normal Sale,No,1993-10-04,Commercial,No Sewage,No Access,RM,305672,49302,9860400,2013,1993,9.86
1894,T Nagar,1882,2007-02-16,180,2,1,5,Family,No,1991-02-20,House,All Pub,No Access,RL,318133,85651,12235870,2007,1991,12.24
1895,Adyar,912,2006-11-21,181,1,1,3,partial,Yes,1990-11-25,Commercial,No Sewage,No Access,A,345959,93502,9350240,2006,1990,9.35
1896,KK Nagar,2147,2011-06-13,23,3,2,5,Normal Sale,No,1993-06-17,Commercial,No Sewage,Paved,RM,790306,326431,17180560,2011,1993,17.18
1897,Chrompet,898,2013-08-24,130,1,1,3,Abnormal,Yes,1973-03-09,Commercial,No Sewage,Gravel,RM,335577,51627,12906800,2013,1973,12.91
1898,Velachery,1979,2009-10-18,16,3,2,5,Family,Yes,1992-10-22,Commercial,ELO,No Access,RH,510899,191587,15965590,2009,1992,15.97
1899,Karapakkam,1398,2010-08-04,133,2,2,4,Normal Sale,No,1971-04-18,House,No Sewage,Paved,RL,245627,141422,7443250,2010,1971,7.44
1900,Karapakkam,942,2010-09-14,32,1,1,3,Abnormal,Yes,1990-09-19,House,All Pub,Paved,C,229905,112005,5895000,2010,1990,5.9
1901,Karapakkam,1504,2010-03-13,182,2,2,4,partial,No,1966-03-24,House,ELO,Paved,RM,306852,149492,7868000,2010,1966,7.87
1902,Chrompet,821,2008-05-31,22,1,1,3,Adj Land,Yes,1999-03-06,House,No Sewage,Gravel,RH,217694,148032,8707750,2008,1999,8.71
1903,Adyar,1045,2009-11-09,76,1,1,3,Family,No,1989-09-16,Commercial,ELO,Paved,I,339894,22660,11329800,2009,1989,11.33
1904,Chrompet,1149,2009-05-15,64,1,1,3,Normal Sale,No,1990-05-20,House,All Pub,Paved,RH,232917,58229,8318450,2009,1990,8.32
1905,Anna Nagar,1666,2007-04-24,140,1,1,4,partial,Yes,1979-01-05,Others,No Sewage,Gravel,RH,416307,143105,13009590,2007,1979,13.01
1906,Karapakkam,1210,2010-01-18,66,1,1,3,partial,Yes,1980-01-26,Others,All Pub,Gravel,RH,266664,99999,8333250,2010,1980,8.33
1907,Velachery,1523,2011-11-17,83,2,1,4,partial,Yes,1970-11-27,Others,ELO,Paved,C,306988,153494,8078620,2011,1970,8.08
1908,Chrompet,891,2012-11-28,95,1,1,3,partial,No,1975-08-12,Commercial,No Sewage,No Access,RM,277533,170790,10674350,2012,1975,10.67
1909,T Nagar,1955,2012-01-14,137,2,1,5,partial,Yes,1976-01-23,Commercial,All Pub,Gravel,RL,713685,111513,22302670,2012,1976,22.3
1910,Chrompet,1191,2009-05-26,54,1,1,3,Adj Land,No,2002-05-28,Others,All Pub,Gravel,RL,300975,53746,10749120,2009,2002,10.75
1911,KK Nagar,1641,2008-07-22,144,2,1,4,Abnormal,No,2003-07-24,Others,All Pub,Paved,RH,373430,172352,9575120,2008,2003,9.58
1912,Chrompet,740,2008-08-01,17,1,1,2,Abnormal,Yes,1974-01-16,House,No Sewage,Gravel,RH,210714,97832,7525500,2008,1974,7.53
1913,Velachery,1588,2005-10-12,3,2,1,4,Abnormal,No,1965-12-20,Commercial,All Pub,Paved,A,364334,239094,11385450,2005,1965,11.39
1914,Karapakkam,1272,2011-04-08,26,1,1,3,partial,Yes,2003-06-08,Others,No Sewage,Paved,I,339480,82984,7544000,2011,2003,7.54
1915,Chrompet,879,2010-01-15,156,1,1,3,Normal Sale,No,1990-01-20,Commercial,No Sewage,Gravel,RM,304435,109597,12177400,2010,1990,12.18
1916,Chrompet,1228,2008-03-17,100,2,1,4,Abnormal,No,1983-03-24,Others,ELO,Gravel,RL,271920,40284,10071110,2008,1983,10.07
1917,Karapakkam,946,2010-03-01,165,1,1,3,Adj Land,No,1995-07-01,Commercial,ELO,No Access,RH,348579,95067,7922250,2010,1995,7.92
1918,Karapakkam,867,2012-01-31,147,1,1,2,Abnormal,Yes,1969-10-02,Commercial,No Sewage,Gravel,C,269194,107678,7691250,2012,1969,7.69
1919,Velachery,1932,2004-12-16,10,3,2,5,Abnormal,Yes,1953-12-29,House,All Pub,No Access,A,301611,54135,7733620,2004,1953,7.73
1920,Velachery,1617,2006-12-15,82,2,1,4,Normal Sale,No,1959-12-27,Commercial,All Pub,No Access,RL,416472,169192,13014740,2006,1959,13.01
1921,KK Nagar,2179,2010-08-11,37,3,2,5,Normal Sale,Yes,1992-12-11,Commercial,No Sewage,Paved,RM,647002,258801,18485760,2010,1992,18.49
1922,Karapakkam,1040,2009-08-26,107,1,1,3,partial,Yes,1976-03-09,House,No Sewage,No Access,A,204137,62129,4437750,2009,1976,4.44
1923,Karapakkam,950,2011-05-23,41,1,1,3,Normal Sale,Yes,1993-05-27,Commercial,No Sewage,Gravel,A,362138,96570,8047500,2011,1993,8.05
1924,Karapakkam,1354,2010-11-16,72,2,2,4,Adj Land,No,1963-11-28,House,No Sewage,No Access,C,210381,123150,5131250,2010,1963,5.13
1925,Velachery,1739,2006-12-23,57,2,1,4,partial,No,1970-01-01,Commercial,No Sewage,Paved,A,363636,234604,11730190,2006,1970,11.73
1926,Adyar,935,2009-11-02,170,1,1,3,Family,No,1979-02-19,Commercial,No Sewage,No Access,RM,420446,81753,11679050,2009,1979,11.68
1927,Karapakkam,1484,2010-07-19,122,2,2,4,partial,Yes,1975-07-28,Others,No Sewage,Paved,A,278421,88280,6790750,2010,1975,6.79
1928,KK Nagar,2182,2009-10-23,179,3,2,5,Family,No,1983-10-30,Others,No Sewage,Gravel,RL,541630,270815,11774560,2009,1983,11.77
1929,Anna Nagar,1711,2009-05-21,27,1,1,4,Family,No,1992-05-25,Others,No Sewage,No Access,RH,391812,138286,11523870,2009,1992,11.52
1930,Chrompet,886,2009-10-18,184,1,1,3,partial,No,1981-10-25,Others,ELO,Paved,RH,229575,34784,6956820,2009,1981,6.96
1931,Velachery,1760,2005-01-23,161,2,1,4,Adj Land,Yes,1971-01-02,Commercial,All Pub,Gravel,RL,498493,199397,16616430,2005,1971,16.62
1932,Chrompet,1283,2010-09-02,191,2,1,4,Family,Yes,1981-02-16,House,All Pub,No Access,RL,249776,76854,9606750,2010,1981,9.61
1933,Karapakkam,1155,2011-06-14,189,1,1,3,partial,No,1978-06-22,House,All Pub,No Access,RL,306263,49002,6125250,2011,1978,6.13
